please enter the dates in mm/dd format,fall start,fall end,spring start,spring end
GROUP 5,,,,
Trocaire College,8/10/2015,12/31/2015,1/3/2016,5/9/2016
Troy University-Dothan,7/26/2015,12/25/2015,1/1/2016,5/25/2016
Truett-Mcconnell College,8/6/2015,12/15/2015,1/11/2016,5/14/2016
Trumbull Business College,8/15/2015,12/13/2015,1/11/2016,5/8/2016
Tulane University Of Louisiana,8/24/2015,12/15/2015,1/11/2016,5/14/2015
Tulsa Community College-West,3/30/2015,12/13/2015,1/11/2016,5/8/2016
Turtle Mountain Community College,8/19/2015,12/21/2015,1/15/2016,5/9/2016
Tusculum College,8/19/2015,12/11/2015,,
Taft College,8/24/2015,12/18/2015,1/19/2016,5/19/2016
Tallahassee Community College,7/1/2015,12/15/2015,1/6/2016,4/29/2015
Tarleton State University,8/15/2015,12/14/2015,12/15/2015,5/6/2016
Tarrant County College Dist,,,,
Taylor University,8/31/2015,12/17/2015,,
Teachers College,9/2/2015,12/21/2015,1/20/2016,5/10/2016
Temple University,8/1/2015,12/18/2015,1/11/2016,5/6/2016
Tennessee State University,8/13/2015,1/3/2016,1/4/2016,5/10/2016
Tennessee Technological University,8/24/2015,12/14/2015,12/24/2015,5/9/2016
Tennessee Wesleyan College,8/12/2015,12/11/2015,1/8/2016,5/5/2016
Texarkana College,8/24/2015,12/16/2015,1/1/2016,5/30/2016
Texas A & M University,8/19/2015,1/1/2016,1/6/2016,5/16/2016
Texas A&M International University,8/17/2015,1/11/2016,1/14/2016,6/3/2016
Texas A&M University - Commerce,8/17/2015,1/11/2016,1/14/2016,6/3/2016
Texas A&M University - Corpus Christi,8/17/2015,12/14/2015,1/18/2016,5/20/2016
Texas A&M University - Kingsville,8/1/2015,12/14/2015,1/19/2016,5/16/2016
Texas Christian University,6/1/2015,12/19/2015,1/8/2016,5/7/2016
Texas Lutheran University,8/20/2015,12/21/2015,1/7/2016,5/9/2016
Texas Southern University,8/3/2015,12/12/2015,1/8/2016,5/14/2016
Texas State University - San Marcos,8/6/2015,12/19/2015,1/4/2016,5/17/2016
Texas Tech University,8/19/2015,12/12/2015,1/19/2016,5/21/2016
Texas Wesleyan University,8/14/2015,12/12/2015,1/13/2016,5/14/2016
Texas Woman'S University,8/14/2015,1/1/2016,1/18/2016,5/14/2016
The Citadel,8/24/2015,12/18/2015,1/11/2016,5/7/2016
The College Of New Jersey,8/24/2015,12/15/2015,1/25/2016,5/20/2016
The Ohio State University,8/18/2015,12/25/2015,1/1/2016,5/10/2016
The University Of Findlay,8/11/2015,12/16/2015,1/3/2016,6/5/2016
The University Of Montana,8/31/2015,12/18/2015,,
The University Of The Arts,8/24/2015,1/3/2016,1/4/2016,5/9/2016
Thiel College,8/17/2015,12/17/2015,1/5/2016,5/26/2016
Thomas College,8/27/2015,12/28/2015,1/4/2016,5/30/2016
Thomas Jefferson University,9/8/2015,12/31/2015,1/4/2016,6/17/2016
Thomas Jefferson University,9/8/2015,12/31/2015,1/4/2016,6/17/2016
Thomas More College,8/15/2015,12/17/2015,1/9/2016,5/14/2016
Thomas Nelson Community College,8/19/2015,12/15/2015,1/11/2016,5/9/2016
Tidewater Community College-Norfolk,8/24/2015,1/1/2016,1/11/2016,5/14/2016
Tiffin University,8/21/2015,12/15/2015,1/11/2016,5/3/2016
Towson University,8/26/2015,12/18/2015,1/25/2016,5/17/2016
Transylvania University,9/8/2015,12/18/2015,1/10/2016,5/30/2016
Trevecca Nazarene University,9/1/2015,12/17/2015,1/13/2016,5/4/2016
Tri-County Technical College,8/17/2015,12/7/2015,1/11/2016,5/10/2016
Tri-State University,8/24/2015,12/23/2015,1/11/2016,5/10/2016
Trident Technical College,8/21/2015,12/13/2015,,
Trinity College,9/3/2015,12/22/2015,1/18/2016,5/22/2016
Trinity College,9/3/2015,12/22/2015,1/18/2016,5/22/2016
Trinity University,8/17/2015,12/21/2015,1/6/2016,5/16/2016
Trinity Valley Community College,9/28/2015,1/1/2016,3/1/2016,6/10/2016
Triton College,8/24/2015,12/23/2015,1/19/2016,5/20/2016
Troy University - Montgomery,8/10/2015,12/25/2015,1/1/2016,6/10/2016
Troy University - Troy,8/10/2015,12/25/2015,1/1/2016,6/10/2016
Truckee Meadows Community College,8/17/2015,12/18/2015,,
Truman State University,8/15/2015,12/12/2015,1/11/2016,5/7/2016
Tufts University,7/1/2015,12/22/2015,1/4/2016,7/23/2016
Tulane University,8/24/2015,12/15/2015,1/11/2016,5/14/2016
Tunxis Community College,8/5/2015,12/18/2015,1/6/2016,6/1/2016
Tuskegee University,8/11/2015,12/17/2015,1/4/2016,5/7/2016
Tyler Junior College,8/24/2015,1/1/2016,1/19/2016,5/13/2016
Uc Merced,8/19/2015,12/22/2015,1/12/2016,5/17/2016
Uc Santa Cruz,9/19/2015,12/10/2015,3/28/2016,6/9/2016
Umpqua Community College,9/28/2015,1/1/2016,2/22/2015,6/10/2015
Unc Chapel Hill,8/16/2015,12/14/2015,1/4/2015,5/10/2015
Unc Charlotte,8/15/2015,12/23/2015,1/6/2016,5/19/2016
Unc Greensboro,8/7/2015,12/10/2015,1/5/2015,5/8/2015
Unc Wilmington,8/10/2015,12/11/2015,1/4/2016,5/5/2016
Union College,9/9/2015,11/25/2015,3/28/2016,6/9/2016
Union College,9/9/2015,11/25/2015,3/28/2016,6/9/2016
Union Institute & University,8/14/2015,12/12/2015,2/1/2016,5/21/2016
United States Merchant Marine Academy,,,,
Unity College In Maine,8/29/2015,12/21/2015,1/19/2016,5/16/2016
University Of Advancing Technology,9/8/2015,12/18/2015,1/11/2016,4/29/2016
University Of Akron Wayne College,8/31/2015,12/13/2015,1/19/2016,5/8/2016
University Of Alaska Southeast,8/1/2015,12/24/2015,1/4/2016,5/4/2016
University Of Alaska Statewide Sys,8/1/2015,12/24/2015,1/4/2016,5/4/2016
University Of Arkansas At Monticello,8/19/2015,12/4/2015,1/4/2016,5/25/2016
University Of Arkansas At Pine Bluff,8/12/2015,1/4/2016,1/4/2016,5/25/2016
University Of Arkansas Community College-Batesville,8/12/2015,1/4/2016,1/4/2016,5/25/2016
University Of Arkansas Community College-Hope,8/17/2015,12/18/2015,1/4/2016,5/10/2016
University Of Arkansas Community College-Morrilton,8/17/2015,12/18/2015,1/4/2016,5/10/2016
University Of Arkansas For Medical Sciences,8/17/2015,12/18/2015,1/4/2016,5/10/2016
University Of Arkansas-Fort Smith,8/17/2015,12/16/2015,1/19/2016,5/19/2016
University Of Cincinnati-Raymond Walters College,8/31/2015,12/23/2015,1/19/2016,5/10/2016
University Of Colorado Hlth Sci Ctr,8/18/2015,12/13/2016,1/8/2016,5/8/2016
University Of Connecticut-Avery Point,8/31/2015,12/23/2015,1/19/2016,5/10/2016
University Of Connecticut-Stamford,8/31/2015,12/23/2015,1/19/2016,5/10/2016
University Of Connecticut-Tri-Campus,8/31/2015,12/23/2015,1/19/2016,5/10/2016
University Of Great Falls,8/24/2015,12/17/2015,1/11/2016,5/12/2016
University Of Hawaii At Hilo,8/21/2015,12/21/2015,1/7/2016,5/16/2016
University Of Hawaii-West Oahu,8/24/2015,12/16/2015,1/11/2016,5/11/2016
University Of Illinois University Admin,8/24/2015,12/11/2015,1/19/2016,5/15/2016
University Of Kansas Medical Center,8/24/2015,12/29/2015,1/19/2016,5/16/2016
University Of Louisiana-Monroe,8/24/2015,12/12/2015,1/4/2016,5/14/2016
University Of Maine At Augusta,8/31/2015,12/19/2015,1/19/2016,5/14/2016
,,,,
University Of Maine At Fort Kent,8/31/2015,12/19/2015,1/19/2016,5/14/2016
University Of Maine At Machias,8/31/2015,12/19/2015,1/19/2016,5/14/2016
University Of Maine At Presque Isle,8/31/2015,12/19/2015,1/19/2016,5/14/2016
University Of Minnesota-Crookston,8/25/2015,12/17/2015,1/11/2016,5/6/2016
university of minnesota morris ,8/26/2015,12/11/2015,1/18/2016,5/12/2016
University Of Miss Medical Center,8/10/2015,12/19/2015,1/11/2016,5/6/2016
University Of Mobile,8/18/2015,12/12/2015,1/11/2016,5/7/2016
University Of Montana-Helena College Of Technology,8/24/2015,12/11/2015,1/11/2016,5/4/2016
University Of Nebraska Med Center,8/19/2015,12/18/2015,1/11/2016,6/30/2016
University Of New Hampshire At Manchester,8/24/2015,12/18/2015,1/11/2016,6/26/2016
University Of New Mexico-Gallup Campus,8/7/2015,12/23/2015,,
University Of New Mexico-Los Alamos Campus,8/17/2015,12/12/2015,1/18/2016,5/14/2016
University Of New Mexico-Main Campus,8/17/2015,12/12/2015,1/18/2016,5/14/2016
University Of New Mexico-Taos Branch,8/17/2015,12/12/2015,,
University Of North Carolina At Asheville,8/15/2015,12/2/2015,1/8/2016,5/8/2016
University Of North Carolina At Pembroke,8/19/2015,12/3/2015,1/11/2016,5/7/2016
University Of Northern Virginia,8/19/2015,12/20/2015,1/11/2016,5/16/2016
University Of Oklahoma Health Sciences Center,8/24/2015,12/18/2015,1/19/2016,5/13/2016
University Of Oklahoma Norman Campus,8/24/2015,12/22/2015,1/19/2016,5/17/2016
University Of Pittsburgh-Bradford,8/28/2015,12/18/2015,1/5/2016,4/29/2016
University Of Pittsburgh-Johnstown,8/31/2015,12/19/2015,1/6/2016,4/30/2016
University Of Rochester,8/31/2015,12/11/2015,1/13/2016,4/27/2016
University Of Saint Mary,8/19/2015,12/10/2015,1/18/2016,5/5/2016
University Of South Carolina-Beaufort,8/20/2015,12/14/2015,1/11/2016,5/7/2016
University Of South Carolina-Lancaster,8/20/2015,12/18/2015,1/11/2016,5/9/2016
University Of South Carolina-Salkehatchie,8/20/2015,12/14/2015,,
University Of South Carolina-Sumter,8/17/2015,12/14/2015,1/11/2016,5/6/2016
University Of South Carolina-Union,8/13/2015,12/15/2015,1/12/2016,5/9/2016
University Of The Ozarks,8/25/2015,12/19/2015,1/19/2016,5/17/2016
University Of Washington-Bothell Campus,8/22/2015,12/27/2015,3/28/2016,6/12/2016
University Of Washington-Tacoma Campus,9/30/2015,12/18/2015,3/28/2016,6/10/2016
University Of Wisconsin Colleges,8/26/2015,12/23/2015,1/12/2016,5/24/2016
University Of Wisconsin System Off,8/24/2015,12/29/2015,1/18/2016,5/22/2016
University Of Wisconsin-Eau Claire,9/2/2015,12/19/2015,1/25/2016,5/21/2016
University Of Wisconsin-La Crosse,9/8/2015,12/30/2015,1/24/2016,5/20/2016
University Of Wisconsin-Platteville,9/2/2015,12/22/2015,1/19/2016,5/30/2016
University Of Wisconsin-River Falls,9/2/2015,12/21/2015,1/25/2016,5/19/2016
University Of Wisconsin-Stevens Point,8/2/2015,12/15/2015,1/25/2016,5/13/2016
University Of Wisconsin-Superior,9/2/2015,12/22/2015,1/19/2016,5/13/2016
University Of Wisconsin-Whitewater,9/2/2015,12/22/2015,1/19/2016,5/13/2016
Union College,9/9/2015,11/25/2015,3/28/2016,6/12/2016
Union University,8/14/2015,12/12/2015,2/1/2016,5/21/2016
United States Naval Academy,8/24/2015,1/2/2016,1/4/2016,5/29/2016
University At Buffalo,8/31/2015,12/22/2015,1/25/2016,5/15/2016
University Of Akron,8/31/2015,12/22/2015,,
University Of Alabama,8/19/2015,1/3/2016,1/13/2016,5/10/2016
University Of Alabama,8/19/2015,1/3/2016,1/13/2016,5/10/2016
University Of Alabama At Birmingham,8/24/2015,12/16/2015,1/11/2016,5/4/2016
University Of Alaska,8/30/2015,12/23/2015,1/4/2016,5/11/2016
University Of Alaska - Anchorage,8/24/2015,12/13/2015,1/11/2016,5/1/2016
University Of Arizona,8/24/2015,12/18/2015,1/13/2016,5/13/2016
University Of Arkansas - Little Rock,8/24/2015,12/19/2015,,
University Of Arkansas-Fayetteville,8/24/2015,12/19/2015,,
University Of Baltimore,8/7/2015,1/6/2016,,
University Of Bridgeport,8/17/2015,12/21/2015,1/11/2016,5/23/2016
University Of California,9/20/2015,12/11/2015,3/28/2016,6/10/2016
University Of California,9/20/2015,12/11/2015,3/28/2016,6/10/2016
University Of California,9/20/2015,12/11/2015,3/28/2016,6/10/2016
University Of California - San Francisco,8/25/2015,12/9/2015,1/25/2016,5/12/2016
"University Of California, Berkeley",8/19/2015,12/18/2015,1/12/2016,5/13/2016
University Of California-Irvine,9/21/2015,12/11/2015,3/23/2016,6/10/2016
University Of California-Riverside,9/21/2015,12/11/2015,3/23/2016,6/10/2016
University Of California-San Diego,9/21/2015,12/12/2015,3/24/2016,6/10/2016
University Of Central Arkansas,8/20/2015,12/14/2015,1/7/2016,5/3/2016
University Of Central Florida,9/7/2015,12/8/2015,1/11/2016,5/7/2016
University Of Central Missouri,8/17/2015,12/12/2015,1/11/2016,5/7/2016
University Of Central Oklahoma,8/17/2015,12/11/2015,,
University Of Charleston,8/24/2015,12/10/2015,1/11/2016,5/7/2016
University Of Cincinnati,8/24/2015,12/12/2015,1/11/2016,4/28/2016
University Of Colorado,8/18/2015,12/13/2016,1/8/2016,5/8/2016
University Of Colorado Colorado Springs,8/18/2015,12/13/2016,1/8/2016,5/8/2016
University Of Colorado Denver,8/17/2015,12/12/2015,1/18/2016,5/14/2016
University Of Connecticut,8/29/2015,12/9/2015,1/19/2016,4/29/2016
University Of Dallas,8/26/2015,12/18/2015,1/15/2016,5/17/2016
University Of Dayton,8/3/2015,12/11/2015,1/15/2016,6/13/2016
University Of Delaware,8/31/2015,12/23/2015,2/8/2016,5/31/2016
University Of Denver,9/14/2015,11/19/2015,3/21/2016,6/4/2016
University Of Detroit Mercy,8/13/2015,12/24/2015,1/9/2016,5/27/2016
University Of District Of Columbia,8/24/2015,12/21/2015,1/11/2016,5/11/2016
University Of Dubuque,8/27/2015,12/21/2015,1/25/2016,6/1/2016
University Of Evansville,8/26/2015,12/16/2015,1/11/2016,5/7/2016
University Of Florida,8/21/2015,12/18/2015,1/4/2016,4/29/2016
University Of Georgia,8/17/2015,12/18/2015,1/11/2016,5/13/2016
University Of Guam,8/17/2015,12/18/2015,1/19/2016,5/22/2016
University Of Hartford,9/1/2015,12/22/2015,1/19/2016,5/2/2016
University Of Hawaii,8/24/2015,12/19/2015,1/11/2016,5/14/2016
University Of Houston,8/24/2015,12/18/2015,1/19/2016,5/14/2016
University Of Houston - Clear Lake,8/24/2015,12/12/2015,1/19/2016,5/9/2016
University Of Houston - Downtown,8/24/2015,12/16/2015,1/19/2016,5/12/2016
University Of Houston - Victoria,8/24/2015,12/16/2015,1/19/2016,5/12/2016
University Of Idaho,8/24/2015,12/18/2015,1/13/2016,5/13/2016
University Of Illinois - Springfield,8/24/2015,12/20/2015,1/18/2016,5/18/2016
University Of Illinois-Chicago,8/24/2015,12/13/2015,1/11/2016,5/7/2016
University Of Illinois-Urbana Champ,8/24/2015,12/18/2015,1/18/2016,5/13/2016
University Of Indianapolis,8/31/2015,12/19/2015,1/19/2016,5/27/2016
University Of Iowa,8/24/2015,12/24/2015,1/19/2016,5/18/2016
University Of Kansas,8/24/2015,12/18/2015,1/19/2016,5/15/2016
University Of Kentucky,8/26/2015,12/18/2015,1/13/2016,5/6/2016
University Of La Verne,8/31/2015,12/20/2015,,
University Of Louisiana-Lafayette,8/19/2015,12/18/2015,1/11/2016,5/13/2016
University Of Louisville,8/10/2015,12/25/2015,1/4/2016,5/30/2016
University Of Maine,8/31/2015,12/18/2015,1/19/2016,5/14/2016
University Of Maine,8/31/2015,12/18/2015,1/19/2016,5/14/2016
University Of Mary,8/20/2015,12/21/2015,1/4/2016,5/19/2016
University Of Mary Hardin-Baylor,8/20/2015,12/11/2015,1/11/2016,5/7/2016
University Of Mary Washington,8/20/2015,12/12/2015,1/8/2016,5/8/2016
University Of Maryland,8/31/2015,12/20/2015,1/25/2016,5/19/2016
University Of Maryland Baltimore Cty,8/19/2015,12/17/2015,1/18/2016,5/19/2016
University Of Maryland Eastern Shore,8/31/2015,12/18/2015,1/25/2016,5/20/2016
"University Of Maryland, Baltimore",9/8/2015,12/23/2015,1/25/2016,5/23/2016
University Of Maryland-University College,8/31/2015,12/20/2015,1/25/2016,5/19/2016
University Of Mass - Dartmouth,9/2/2015,12/19/2015,1/25/2016,5/16/2016
University Of Mass At Lowell,9/1/2015,12/5/2015,,
University Of Massachusetts,9/8/2015,12/28/2015,1/19/2016,5/10/2016
University Of Massachusetts,9/8/2015,12/28/2015,1/19/2016,5/10/2016
University Of Memphis,8/24/2015,12/10/2015,1/18/2016,5/5/2016
University Of Miami,8/10/2015,12/23/2015,1/2/2016,5/11/2016
University Of Michigan,9/8/2015,11/11/2015,5/3/2016,8/19/2016
University Of Michigan - Dearborn,9/9/2015,11/11/2015,,
University Of Michigan -Flint,9/8/2015,12/20/2015,5/3/2016,8/19/2016
University Of Minnesota - Duluth,8/24/2015,12/18/2015,1/13/2016,5/30/2016
"University Of Minnesota, Twin Cities",9/7/2015,12/23/2015,1/18/2016,5/14/2016
University Of Mississippi,8/24/2015,12/11/2015,1/25/2015,5/14/2016
University Of Missouri,8/24/2015,12/22/2015,1/18/2016,5/17/2016
University Of Missouri,8/24/2015,12/22/2015,1/18/2016,5/17/2016
University Of Missouri-Kansas City,9/19/2015,12/22/2015,12/29/2016,5/19/2016
University Of Missouri-Rolla,9/11/2015,12/19/2015,1/11/2016,5/14/2016
University Of Montevallo,8/21/2015,12/11/2015,1/4/2016,5/7/2016
University Of Nebraska,8/24/2015,12/19/2015,1/11/2016,5/7/2016
University Of Nebraska At Kearney,8/24/2015,12/22/2015,,
University Of Nebraska At Omaha,8/24/2015,12/18/2015,1/11/2016,5/7/2016
"University Of Nevada, Las Vegas",8/24/2015,12/15/2015,1/18/2016,5/17/2016
University Of Nevada-Reno,8/24/2015,12/21/2015,1/19/2016,5/14/2016
University Of New England,8/26/2015,12/11/2015,1/20/2016,5/21/2016
University Of New Hampshire,8/28/2015,12/19/2015,1/26/2015,5/21/2016
University Of New Haven,8/20/2015,12/21/2015,1/19/2016,5/15/2016
University Of New Mexico,8/17/2015,12/12/2015,1/18/2016,5/14/2016
University Of New Mexico-Valencia,8/17/2015,12/12/2015,1/18/2016,5/14/2016
University Of New Orleans,8/12/2015,12/18/2015,1/4/2016,5/14/2016
University Of North Alabama,8/19/2015,12/12/2015,1/4/2016,5/7/2016
University Of North Dakota,8/24/2015,12/18/2015,1/11/2016,5/13/2016
